Name,Cuisine Type,Expensiveness,Country,Mean Rating,Terrace Available,Vegetarian Menu Available,Wine Menu Available
Magellan, Modern Cuisine,2,Serbia,47.142857142857146,False,False,True
Bela Reka, Traditional Cuisine,2,Serbia,48.333333333333336,True,False,False
Retrogusto," Country cooking, Modern Cuisine",4,Italy,47.266666666666666,True,False,False
Dunav," Country cooking, Regional Cuisine",2,Croatia,39.38775510204081,True,False,False
Bugenvila, Classic Cuisine,4,Croatia,44.93333333333333,True,False,False
Bel Ami, Seafood,3,Italy,40.90909090909091,True,False,False
Bros' Trattoria," Traditional Cuisine, Market Cuisine",3,Italy,40.86666666666667,True,False,False
Alabárdos, Modern Cuisine,4,Hungary,49.285714285714285,True,False,False
Primo Restaurant," Mediterranean Cuisine, Contemporary",5,Italy,41.578947368421055,True,False,False
Osteria degli Spiriti," Apulian, Modern Cuisine",3,Italy,37.232142857142854,False,False,False
Alkimista Kulináris Műhely, Modern Cuisine,5,Hungary,50.0,False,False,False
Duo Ristorante," Modern Cuisine, Apulian",3,Italy,46.833333333333336,False,True,False
Bros'," Creative, Contemporary",5,Italy,40.38461538461539,False,False,False
Farmacia dei Sani," Apulian, Modern Cuisine",3,Italy,46.75,True,False,False
Pjerin, Mediterranean Cuisine,5,Croatia,46.20253164556962,True,False,False
Restaurant 360," Modern Cuisine, Creative",5,Croatia,46.86666666666667,True,False,True
Bistro Tavulin," Traditional Cuisine, Classic Cuisine",3,Croatia,46.13333333333333,True,False,False
Zuzori, Mediterranean Cuisine,4,Croatia,47.0,True,False,False
Dubrovnik, Mediterranean Cuisine,4,Croatia,0.0,True,False,False
Dubrovnik," Croatian, Seafood",3,USA,0.0,True,False,False
Taj Mahal," Balkan, Country cooking",3,Croatia,46.53333333333333,True,False,False
Stara Loza, Mediterranean Cuisine,4,Croatia,45.4,True,False,False
Proto Fish, Seafood,4,Croatia,45.2,True,True,False
Above 5, Creative,5,Croatia,48.13333333333333,True,False,False
Nautika, Classic Cuisine,5,Croatia,0.0,True,False,False
Anima & Cuore, Apulian,3,Italy,0.0,True,False,False
Vapor, Modern Cuisine,4,Croatia,0.0,True,False,False
Il Tempo Nuovo," Contemporary, Apulian",4,Italy,0.0,True,False,False
IKON," Modern Cuisine, Hungarian",4,Hungary,0.0,True,False,False
L'Acchiatura," Traditional Cuisine, Apulian",2,Italy,0.0,True,False,False
Pantagruele, Seafood,3,Italy,43.6231884057971,True,False,False
Osteria Casale Ferrovia," Apulian, Modern Cuisine",3,Italy,41.53333333333333,True,False,True
Già Sotto l'Arco," Creative, Italian",4,Italy,44.09090909090909,False,False,True
Cielo," Creative, Contemporary",4,Italy,42.35294117647059,True,True,False
Osteria Piazzetta Cattedrale," Apulian, Modern Cuisine",3,Italy,46.666666666666664,False,False,False
Porta Nova, Seafood,3,Italy,34.09836065573771,True,False,True
Restaurant 700, Contemporary,4,Italy,50.0,True,True,False
Casamatta," Country cooking, Contemporary",5,Italy,40.0,True,True,False
Cibus," Apulian, Country cooking",2,Italy,41.06666666666667,True,False,True
Rézmozsár, Traditional Cuisine,2,Hungary,42.333333333333336,True,False,False
Waldinger, Regional Cuisine,3,Croatia,48.0,False,False,False
Due Camini," Mediterranean Cuisine, Creative",5,Italy,37.407407407407405,True,False,False
Orto," Contemporary, Seasonal Cuisine",3,Italy,33.75,True,True,False
Horgonyzó Kisvendéglő, Traditional Cuisine,2,Hungary,50.0,True,False,False
La Barca, Seafood,3,Italy,0.0,True,False,False
La Barca," Seafood, Apulian",3,Italy,0.0,False,False,False
L'Osteria di Chichibio, Seafood,3,Italy,0.0,True,False,False
Meraviglioso Osteria Moderna," Contemporary, Seafood",4,Italy,0.0,False,False,False
La Cuccagna, Apulian,2,Italy,50.0,True,True,True
Graefl Major Kétútköz, Traditional Cuisine,3,Hungary,46.38297872340426,False,False,False
Gatto Rosso, Seafood,3,Italy,43.333333333333336,True,False,False
Pashà," Modern Cuisine, Apulian",5,Italy,44.0,True,False,True
Angelo Sabatelli," Country cooking, Asian Influences",4,Italy,47.63157894736842,False,False,True
Fè Ristorante," Apulian, Modern Cuisine",4,Italy,47.04545454545455,False,False,False
LD Restaurant," Modern Cuisine, Mediterranean Cuisine",5,Croatia,47.333333333333336,True,False,False
Filippi," Mediterranean Cuisine, Classic Cuisine",4,Croatia,0.0,True,False,False
Sauska 48," Modern Cuisine, Hungarian",3,Hungary,47.333333333333336,True,False,True
Konoba Mate," Country cooking, Regional Cuisine",3,Croatia,46.13333333333333,True,False,False
Jeny, Modern Cuisine,5,Croatia,49.4,True,False,False
Biancofiore," Traditional Cuisine, Seafood",3,Italy,41.4,False,False,False
La Bul, Modern Cuisine,4,Italy,41.6,True,True,False
Avalon, Italian,3,Hungary,40.46153846153846,True,False,False
Avalon," European, Mediterranean Cuisine",3,Norway,40.46153846153846,False,False,False
Zip's, Meats and Grills,2,Hungary,45.869565217391305,False,True,False
Anyukám Mondta," Italian, Mediterranean Cuisine",3,Hungary,48.06666666666667,True,False,False
Végállomás Bistro&Wine, Contemporary,3,Hungary,47.05882352941177,True,False,False
Macok, Modern Cuisine,3,Hungary,45.333333333333336,True,False,False
Almalomb, Traditional Cuisine,3,Hungary,48.0,True,True,False
Hosszú Tányér," Modern Cuisine, Hungarian",3,Hungary,50.0,False,False,False
Morzsa," Contemporary, Hungarian",3,Hungary,50.0,True,False,False
Dattilo," Creative, Country cooking",5,Italy,42.333333333333336,True,False,True
Da Ercole, Seafood,3,Italy,46.08695652173913,True,False,False
Ruris, Seafood,4,Italy,44.285714285714285,False,False,True
Clarisse, Modern Cuisine,5,Hungary,40.0,False,False,True
Vitantonio Lombardo, Creative,5,Italy,46.666666666666664,False,False,True
Baccanti, Modern Cuisine,3,Italy,44.93333333333333,True,False,True
Le Bubbole," Cuisine from Basilicata, Modern Cuisine",4,Italy,47.5,True,False,False
L'Abbondanza Lucana, Cuisine from Basilicata,3,Italy,40.945945945945944,True,False,False
Dimora Ulmo," Cuisine from Basilicata, Modern Cuisine",4,Italy,47.22222222222222,True,False,False
Ego, Creative,4,Italy,47.77777777777778,False,False,False
U.P.E.P.I.D.D.E., Apulian,2,Italy,43.333333333333336,False,False,True
Pietramare Natural Food," Creative, Contemporary",5,Italy,48.75,True,False,False
Maslina," Mediterranean Cuisine, Modern Cuisine",5,Croatia,34.285714285714285,False,False,False
Casa Sgarra," Creative, Apulian",4,Italy,50.0,True,False,False
Le Lampare al Fortino," Mediterranean Cuisine, Modern Cuisine",4,Italy,43.75,True,False,True
Gallo Restaurant, Seafood,4,Italy,45.609756097560975,True,True,False
Il Melograno, Seafood,3,Italy,47.857142857142854,False,True,False
Il Melograno, Traditional Cuisine,3,Italy,47.857142857142854,True,False,False
Quintessenza," Contemporary, Apulian",4,Italy,49.823008849557525,True,False,False
Osteria Frangipane, Seafood,3,Italy,47.241379310344826,False,False,False
Il Turacciolo," Modern Cuisine, Apulian",2,Italy,48.5,True,False,True
Bacco, Classic Cuisine,4,Italy,50.0,True,False,False
Antica Cucina 1983," Apulian, Modern Cuisine",3,Italy,46.0,True,False,True
Costes, Modern Cuisine,5,Hungary,42.666666666666664,False,False,True
Salt, Modern Cuisine,5,Hungary,47.35294117647059,False,True,False
Salt, Modern British,5,UnitedKingdom,47.35294117647059,False,True,False
Laurel," Modern Cuisine, Asian Influences",5,Hungary,48.4,False,True,False
Spago by Wolfgang Puck, International,4,Hungary,41.21212121212121,True,False,True
Babel, Modern Cuisine,5,Hungary,46.93333333333333,True,True,False
Stand," Modern Cuisine, Hungarian",5,Hungary,49.4,False,True,True
Rumour, Creative,5,Hungary,48.627450980392155,False,False,False
Kadena, International,4,Croatia,39.93333333333333,True,False,False
Nobu Budapest, Japanese,5,Hungary,38.93333333333333,False,True,False
Onyx Mühely, Modern Cuisine,5,Hungary,46.46666666666667,False,True,False
Borkonyha Winekitchen, Modern Cuisine,4,Hungary,42.93333333333333,True,False,True
Pasztell, Modern Cuisine,5,Hungary,49.75,False,True,False
Textúra, Modern Cuisine,4,Hungary,43.839285714285715,True,False,False
essência," Modern Cuisine, Portuguese",5,Hungary,45.806451612903224,True,True,False
FELIX Kitchen & Bar, Meats and Grills,4,Hungary,41.01851851851852,True,True,False
Dvor, Mediterranean Cuisine,3,Croatia,43.86666666666667,True,False,False
Hoppá! Bistro, Contemporary,3,Hungary,48.46666666666667,True,False,False
Costes Downtown, Modern Cuisine,5,Hungary,42.666666666666664,False,False,False
Mák, Modern Cuisine,5,Hungary,44.733333333333334,False,True,False
St. Andrea, Modern Cuisine,5,Hungary,45.666666666666664,True,True,True
Umo," International, South American",3,Hungary,32.5,True,False,False
Stand25 Bisztró, Traditional Cuisine,3,Hungary,43.266666666666666,True,True,False
Šug, Regional Cuisine,4,Croatia,45.4,True,False,False
ZOI, Mediterranean Cuisine,4,Croatia,46.53333333333333,True,False,False
Hyle," Modern Cuisine, Calabrian",4,Italy,50.0,False,False,True
Konoba Fetivi, Traditional Cuisine,3,Croatia,45.666666666666664,True,False,False
Arany Kaviár, Modern Cuisine,5,Hungary,48.46666666666667,False,False,True
Zrno Soli," Seafood, Mediterranean Cuisine",4,Croatia,42.46666666666667,True,False,False
Rutin, Modern Cuisine,3,Hungary,42.333333333333336,True,False,False
Al Dragone," Apulian, Modern Cuisine",3,Italy,41.785714285714285,False,False,False
Acqua," Mediterranean Cuisine, Contemporary",3,Italy,46.666666666666664,False,False,False
Acqua, Italian,5,Thailand,46.666666666666664,True,False,True
Il Capriccio," Seafood, Contemporary",3,Italy,42.56410256410256,True,False,False
Konoba Škoj, Mediterranean Cuisine,3,Croatia,0.0,True,False,False
Canneto Beach 2, Seafood,3,Italy,48.18181818181818,True,False,True
Antichi Sapori, Apulian,3,Italy,49.40298507462686,False,False,False
La Tavernetta," Calabrian, Modern Cuisine",4,Italy,50.0,False,False,True
Luna Rossa, Cuisine from Basilicata,2,Italy,45.833333333333336,True,False,False
Rókusfalvy Fogadó, Traditional Cuisine,3,Hungary,44.74576271186441,True,False,False
Abbruzzino," Country cooking, Contemporary",4,Italy,50.0,True,False,True
La Tradizione - Cucina Casalinga," Apulian, Traditional Cuisine",2,Italy,48.57142857142857,True,False,False
Konoba TRS, Mediterranean Cuisine,3,Croatia,45.6,True,False,False
Il Ponte, Contemporary,4,Croatia,49.009009009009006,True,False,False
67 Sigma," Modern Cuisine, Hungarian",3,Hungary,45.342465753424655,True,False,False
Porta di Basso," Seafood, Contemporary",4,Italy,47.11864406779661,True,False,False
Due Mari, Calabrian,2,Italy,48.0,False,False,False
Li Jalantuùmene," Apulian, Modern Cuisine",4,Italy,41.132075471698116,True,False,False
Al Becco della Civetta, Cuisine from Basilicata,3,Italy,46.808510638297875,False,False,False
Il Carpaccio," Calabrian, Traditional Cuisine",2,Italy,36.666666666666664,True,False,True
Il Carpaccio, Italian,5,France,36.666666666666664,True,True,True
Bramea, Creative,3,Italy,50.0,True,True,False
Osteria Boccolicchio," Apulian, Seafood",3,Italy,47.36842105263158,True,False,False
Coppola Rossa, Seafood,3,Italy,36.666666666666664,True,False,False
U' Vulesce," Apulian, Traditional Cuisine",2,Italy,46.875,True,False,False
Natura Hill," Modern Cuisine, Hungarian",3,Hungary,47.142857142857146,True,False,False
füge, Modern Cuisine,2,Hungary,42.333333333333336,True,False,False
Agorà," Seafood, Contemporary",3,Italy,50.0,True,False,False
Agorà," Italian, Classic Cuisine",3,Switzerland,50.0,True,False,False
Barbieri," Calabrian, Traditional Cuisine",2,Italy,49.285714285714285,True,True,False
Tihanyi Vinarius, Contemporary,3,Hungary,50.0,True,False,False
Kistücsok, Traditional Cuisine,3,Hungary,45.2,True,False,False
Víg Molnár Csárda, Traditional Cuisine,2,Hungary,45.142857142857146,True,False,False
Da Peppe," Cuisine from Basilicata, Italian",2,Italy,48.888888888888886,True,True,False
Zelna Borbár és Vinotéka, Traditional Cuisine,3,Hungary,44.21052631578947,True,False,False
Mór24, Modern Cuisine,2,Hungary,36.666666666666664,True,False,False
Sparhelt, Traditional Cuisine,3,Hungary,46.0655737704918,True,False,False
Luigi Lepore," Creative, Calabrian",4,Italy,50.0,False,False,False
42, Modern Cuisine,5,Hungary,45.0,True,True,False
Al Baliaggio, Modern Cuisine,2,Italy,48.75,False,False,False
L'Incanto," Cuisine from Basilicata, Traditional Cuisine",3,Italy,49.0,False,False,False
Forentum, Country cooking,2,Italy,40.0,True,False,False
Konoba Vinko, Country cooking,3,Croatia,46.06666666666667,True,False,False
Öreg Prés, Traditional Cuisine,3,Hungary,45.833333333333336,True,False,False
Don Alfonso 1890 San Barbato," Creative, Country cooking",4,Italy,50.0,True,False,False
Casa Christa, Modern Cuisine,3,Hungary,48.333333333333336,True,False,False
Neked Főztem, Traditional Cuisine,3,Hungary,41.971830985915496,True,False,False
A Konyhám Stúdió 365, Contemporary,3,Hungary,46.666666666666664,False,False,False
Pelegrini, Modern Cuisine,5,Croatia,46.8,True,False,True
Kővirág, Traditional Cuisine,3,Hungary,41.228070175438596,True,False,False
Lokal47, Traditional Cuisine,2,Hungary,50.0,True,False,False
La Villa," Cuisine from Basilicata, Traditional Cuisine",2,Italy,50.0,False,False,False
La Villa,French,55,Brazil,50.0,True,False,False
Platán Bisztró, Traditional Cuisine,3,Hungary,45.44,True,False,False
Platán Gourmet," Creative, Hungarian",5,Hungary,50.0,False,False,False
84 Bisztró," Mediterranean Cuisine, Hungarian",3,Hungary,50.0,True,False,False
L'Aragosta," Seafood, Classic Cuisine",3,Italy,0.0,True,False,True
Villa Kabala," Modern Cuisine, Hungarian",4,Hungary,47.64705882352941,True,False,False
L'Aia dei Cappellani," Traditional Cuisine, Country cooking",2,Italy,43.333333333333336,True,False,False
La Cascina," Country cooking, Classic Cuisine",4,Italy,46.1764705882353,True,False,False
Convito, Seafood,2,Italy,0.0,False,False,False
San Domenico," Contemporary, Seafood",3,Italy,40.0,True,False,False
San Domenico, Classic Cuisine,5,Italy,40.0,True,False,True
La Kucina," Italian Contemporary, Grills",3,Italy,40.0,True,False,False
Locanda Toscano," Contemporary, Seafood",3,Italy,47.868852459016395,False,False,False
Konoba Tri Piruna," Modern Cuisine, Contemporary",3,Croatia,46.86666666666667,True,False,False
ME Restaurant," Mediterranean Cuisine, Modern Cuisine",4,Italy,45.78947368421053,True,True,False
Gambero Rosso," Seafood, Calabrian",4,Italy,48.666666666666664,False,False,True
Taverna Rovita," Cuisine from Basilicata, Country cooking",3,Italy,35.36585365853659,False,False,False
Lapprodo," Seafood, Classic Cuisine",4,Italy,45.0,True,False,False
Il Normanno," Calabrian, Home Cooking",2,Italy,48.0,True,False,False
La Fossa del Grano," Apulian, Traditional Cuisine",3,Italy,47.857142857142854,True,False,False
Zi Filomena, Country cooking,2,Italy,46.666666666666664,True,False,False
Le Antiche Sere," Modern Cuisine, Apulian",2,Italy,43.75,True,False,False
Frammichè," Calabrian, Home Cooking",2,Italy,42.333333333333336,True,False,False
Konoba Boba, Modern Cuisine,4,Croatia,43.13333333333333,False,False,False
Coquus," Contemporary, Apulian",2,Italy,30.0,True,False,False
Kreinbacher Birtok," Modern Cuisine, International",3,Hungary,38.0,True,False,True
Oasis - Sapori Antichi," Campanian, Contemporary",4,Italy,49.09090909090909,False,True,True
Qafiz," Country cooking, Contemporary",5,Italy,50.0,False,True,True
La Chioccia d'Oro," Country cooking, Campanian",2,Italy,43.333333333333336,True,False,False
Aquadulcis," Contemporary, Country cooking",3,Italy,50.0,False,False,False
Mon Ami, Mediterranean Cuisine,3,Croatia,48.35820895522388,False,False,False
Zlatne Gorice, Regional Cuisine,3,Croatia,45.25423728813559,True,False,False
LAMAREDA," Traditional Cuisine, Mediterranean Cuisine",3,Hungary,44.0,True,False,False
De Gustibus - Maurizio, Seafood,3,Italy,0.0,False,False,False
La Pignata," Campanian, Traditional Cuisine",2,Italy,44.285714285714285,False,True,False
Maeba Restaurant, Italian Contemporary,4,Italy,40.0,True,False,True
Angiolina," Campanian, Traditional Cuisine",2,Italy,44.5945945945946,True,True,False
Adele Restaurant, Seafood,3,Italy,50.0,True,False,False
Perbacco," Campanian, Home Cooking",3,Italy,38.5,True,False,True
Perbacco," Italian, Regional Cuisine",3,USA,38.5,True,False,True
Antica Trattoria Di Pietro," Campanian, Traditional Cuisine",2,Italy,50.0,False,False,False
Federico II, Seafood,3,Italy,44.705882352941174,True,False,False
Svevia, Mediterranean Cuisine,3,Italy,46.666666666666664,False,False,False
L'Opera, Seafood,3,Italy,48.214285714285715,True,False,False
L'Opera, Italian,4,Belgium,48.214285714285715,True,False,False
Taverna Kerkira, Seafood,3,Italy,47.857142857142854,False,False,False
Mala Hiza, Regional Cuisine,3,Croatia,44.733333333333334,True,False,False
Bedem, Traditional Cuisine,3,Croatia,43.45679012345679,True,False,False
L'Angolo del Gusto," Traditional Cuisine, Calabrian",2,Italy,50.0,False,False,False
Tekka," Japanese, Asian",3,Croatia,46.8,False,True,False
ManO2," Croatian, Contemporary",4,Croatia,42.02797202797203,True,False,False
Il Papavero," Modern Cuisine, Campanian",3,Italy,40.0,True,False,False
Ribo, Seafood,3,Italy,45.0,True,False,False
Noel, Modern Cuisine,5,Croatia,44.733333333333334,True,False,True
Zinfandel's, Modern Cuisine,4,Croatia,45.46666666666667,True,False,False
Le Bistro Esplanade, French,3,Croatia,45.333333333333336,True,False,False
Alessandro Feo," Campanian, Seafood",3,Italy,50.0,False,False,False
Theatrium by Filho," Mediterranean Cuisine, Modern Cuisine",3,Croatia,42.10526315789474,True,False,False
Pod Zidom, Market Cuisine,3,Croatia,42.733333333333334,True,False,False
Boban, Traditional Cuisine,3,Croatia,40.13333333333333,True,False,False
Gallo," Seafood, Mediterranean Cuisine",4,Croatia,45.666666666666664,True,False,False
Beštija," Market Cuisine, Contemporary",3,Croatia,48.431372549019606,False,False,False
Nav, Creative,5,Croatia,48.05555555555556,False,False,False
Takenoko," Japanese, Fusion",3,Croatia,41.06666666666667,False,False,False
ManO," Steakhouse, Modern Cuisine",4,Croatia,44.25,True,False,False
Dubravkin Put, Mediterranean Cuisine,4,Croatia,44.13333333333333,True,False,False
Bistro Apetit by Marin Rendić, Mediterranean Cuisine,4,Croatia,45.06666666666667,True,False,False
Foša," Classic Cuisine, Seafood",4,Croatia,38.13333333333333,True,False,False
Kaštel," Mediterranean Cuisine, Contemporary",4,Croatia,45.266666666666666,True,False,False
Le Trabe," Campanian, Contemporary",4,Italy,46.42857142857143,True,False,True
Izakaya by Time, Japanese Contemporary,2,Croatia,43.06666666666667,True,False,False
Tač, Traditional Cuisine,3,Croatia,39.857142857142854,True,False,False
Casa Coloni," Contemporary, Campanian",4,Italy,50.0,True,True,False
Tre Olivi," Creative, Campanian",5,Italy,48.142857142857146,False,False,True
Da Nonna Sceppa," Campanian, Traditional Cuisine",3,Italy,43.86666666666667,True,False,False
Osteria Arbustico, Modern Cuisine,4,Italy,45.333333333333336,False,False,True
Il Cormorano, Seafood,3,Italy,38.8,True,False,False
Il Cormorano, Seafood,4,Italy,38.8,True,False,False
Marennà," Modern Cuisine, Italian",4,Italy,47.6,True,False,False
Locanda della Luna," Campanian, Classic Cuisine",3,Italy,45.0,True,False,False
Vecchio Porto, Seafood,3,Italy,49.375,True,False,False
Pascalucci," Campanian, Seafood",2,Italy,36.0,True,False,False
Osteria 1861, Mediterranean Cuisine,3,Italy,47.5,True,True,False
Al Metrò," Modern Cuisine, Mediterranean Cuisine",4,Italy,0.0,True,False,False
Baylik," Seafood, Classic Cuisine",3,Italy,0.0,False,False,False
L'A Gourmet L'Accademia, Seafood,3,Italy,47.5,False,False,True
Marina del Nettuno," Creative, Contemporary",4,Italy,39.333333333333336,True,False,False
Pajta, Traditional Cuisine,4,Hungary,45.43859649122807,True,False,False
Sacha," Mediterranean Cuisine, Seafood",4,Italy,48.125,False,False,False
Casa Federici," Contemporary, Campanian",4,Italy,0.0,False,False,False
Osteria del Gallo e della Volpe," Campanian, Modern Cuisine",2,Italy,0.0,True,False,True
Cetaria," Contemporary, Campanian",4,Italy,50.0,True,True,True
Suscettibile Salerno," Contemporary, Country cooking",4,Italy,44.743589743589745,True,False,False
Casamare, Seafood,4,Italy,50.0,True,False,False
Vuglec Breg, Regional Cuisine,3,Croatia,42.33870967741935,True,False,False
Pescheria, Seafood,4,Italy,47.5,False,False,False
Hydra," Contemporary, Campanian",3,Italy,45.833333333333336,True,True,False
Miseria e Nobiltà, Regional Cuisine,2,Italy,50.0,False,False,False
Aciniello, Traditional Cuisine,2,Italy,46.36363636363637,True,False,False
Punta Lena," Seafood, Sicilian",3,Italy,42.391304347826086,True,False,False
