Name,Link
Alkimista Kulináris Műhely,https://guide.michelin.com/tr/en/csongrad-csanad/szeged/restaurant/alkimista-kulinaris-muhely
Duo Ristorante,https://guide.michelin.com/tr/en/puglia/lecce/restaurant/duo-ristorante
Bros',https://guide.michelin.com/tr/en/puglia/lecce/restaurant/bros
Farmacia dei Sani,https://guide.michelin.com/tr/en/puglia/ruffano/restaurant/farmacia-dei-sani
Pjerin,https://guide.michelin.com/tr/en/dubrovnik-neretva/dubrovnik/restaurant/pjerin
Restaurant 360,https://guide.michelin.com/tr/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA
Bistro Tavulin,https://guide.michelin.com/tr/en/dubrovnik-neretva/dubrovnik/restaurant/bistro-tavulin
Zuzori,https://guide.michelin.com/tr/en/dubrovnik-neretva/dubrovnik/restaurant/zuzori
Dubrovnik,https://guide.michelin.com/tr/en/dubrovnik-neretva/dubrovnik/restaurant/dubrovnik
Taj Mahal,https://guide.michelin.com/tr/en/dubrovnik-neretva/dubrovnik/restaurant/taj-mahal
Stara Loza,https://guide.michelin.com/tr/en/dubrovnik-neretva/dubrovnik/restaurant/stara-loza
Proto Fish,https://guide.michelin.com/tr/en/dubrovnik-neretva/dubrovnik/restaurant/proto-fish
Above 5,https://guide.michelin.com/tr/en/dubrovnik-neretva/dubrovnik/restaurant/above-5
Nautika,https://guide.michelin.com/tr/en/dubrovnik-neretva/dubrovnik/restaurant/nautika
Anima & Cuore,https://guide.michelin.com/tr/en/puglia/galatina/restaurant/anima-cuore
Vapor,https://guide.michelin.com/tr/en/dubrovnik-neretva/dubrovnik/restaurant/vapor
Il Tempo Nuovo,https://guide.michelin.com/tr/en/puglia/ugento/restaurant/il-tempo-nuovo
IKON,https://guide.michelin.com/tr/en/hajdu-bihar/debrecen/restaurant/ikon
L'Acchiatura,https://guide.michelin.com/tr/en/puglia/racale/restaurant/l-acchiatura
Pantagruele,https://guide.michelin.com/tr/en/puglia/brindisi/restaurant/pantagruele
Osteria Casale Ferrovia,https://guide.michelin.com/tr/en/puglia/carovigno/restaurant/osteria-casale-ferrovia
Già Sotto l'Arco,https://guide.michelin.com/tr/en/puglia/carovigno/restaurant/gia-sotto-l-arco
Cielo,https://guide.michelin.com/tr/en/puglia/ostuni/restaurant/cielo
Osteria Piazzetta Cattedrale,https://guide.michelin.com/tr/en/puglia/ostuni/restaurant/osteria-piazzetta-cattedrale
Porta Nova,https://guide.michelin.com/tr/en/puglia/ostuni/restaurant/porta-nova
Restaurant 700,https://guide.michelin.com/tr/en/puglia/ostuni/restaurant/700
Casamatta,https://guide.michelin.com/tr/en/puglia/manduria/restaurant/casamatta
Cibus,https://guide.michelin.com/tr/en/puglia/ceglie-messapica/restaurant/cibus
Rézmozsár,https://guide.michelin.com/tr/en/bacs-kiskun/kiskunhalas/restaurant/rezmozsar
Waldinger,https://guide.michelin.com/tr/en/osijek-baranja/osijek/restaurant/club-waldinger
Due Camini,https://guide.michelin.com/tr/en/puglia/savelletri/restaurant/due-camini
Orto,https://guide.michelin.com/tr/en/puglia/monopoli/restaurant/orto
Horgonyzó Kisvendéglő,https://guide.michelin.com/tr/en/szabolcs-szatmar-bereg/tiszalok/restaurant/horgonyzo-kisvendeglo
La Barca,https://guide.michelin.com/tr/en/puglia/marina-di-pulsano/restaurant/la-barca
L'Osteria di Chichibio,https://guide.michelin.com/tr/en/puglia/polignano-a-mare/restaurant/l-osteria-di-chichibio
Meraviglioso Osteria Moderna,https://guide.michelin.com/tr/en/puglia/polignano-a-mare/restaurant/meraviglioso-osteria-moderna
La Cuccagna,https://guide.michelin.com/tr/en/puglia/crispiano/restaurant/la-cuccagna
Graefl Major Kétútköz,https://guide.michelin.com/tr/en/heves/poroszlo/restaurant/graefl-major-ketutkoz
Gatto Rosso,https://guide.michelin.com/tr/en/puglia/taranto/restaurant/al-gatto-rosso
Pashà,https://guide.michelin.com/tr/en/puglia/conversano/restaurant/pasha
Angelo Sabatelli,https://guide.michelin.com/tr/en/puglia/putignano/restaurant/angelo-sabatelli
Fè Ristorante,https://guide.michelin.com/tr/en/puglia/noci/restaurant/fe
LD Restaurant,https://guide.michelin.com/tr/en/dubrovnik-neretva/korcula/restaurant/ld-terrace
Filippi,https://guide.michelin.com/tr/en/dubrovnik-neretva/korcula/restaurant/filippi
Sauska 48,https://guide.michelin.com/tr/en/baranya/villany/restaurant/sauska-48
Konoba Mate,https://guide.michelin.com/tr/en/dubrovnik-neretva/korcula/restaurant/konoba-mate
Jeny,https://guide.michelin.com/tr/en/split-dalmatia/tucepi/restaurant/jeny
Biancofiore,https://guide.michelin.com/tr/en/puglia/bari/restaurant/biancofiore
La Bul,https://guide.michelin.com/tr/en/puglia/bari/restaurant/la-bul
Avalon,https://guide.michelin.com/tr/en/borsod-abauj-zemplen/miskolc/restaurant/avalon-1201480
Zip's,https://guide.michelin.com/tr/en/borsod-abauj-zemplen/miskolc/restaurant/zip-s
Anyukám Mondta,https://guide.michelin.com/tr/en/borsod-abauj-zemplen/encs/restaurant/anyukam-mondta
Végállomás Bistro&Wine,https://guide.michelin.com/tr/en/borsod-abauj-zemplen/miskolc/restaurant/vegallomas-bistro-wine
Macok,https://guide.michelin.com/tr/en/heves/eger/restaurant/macok
Almalomb,https://guide.michelin.com/tr/en/baranya/hosszuheteny/restaurant/almalomb
Hosszú Tányér,https://guide.michelin.com/tr/en/baranya/hosszuheteny/restaurant/hosszu-tanyer
Morzsa,https://guide.michelin.com/tr/en/baranya/pecs/restaurant/morzsa
Dattilo,https://guide.michelin.com/tr/en/calabria/strongoli/restaurant/dattilo
Da Ercole,https://guide.michelin.com/tr/en/calabria/crotone/restaurant/da-ercole
Ruris,https://guide.michelin.com/tr/en/calabria/isola-di-capo-rizzuto/restaurant/ruris
Clarisse,https://guide.michelin.com/tr/en/pest/tura/restaurant/clarisse
Vitantonio Lombardo,https://guide.michelin.com/tr/en/basilicata/matera/restaurant/vitantonio-lombardo
Baccanti,https://guide.michelin.com/tr/en/basilicata/matera/restaurant/baccanti
Le Bubbole,https://guide.michelin.com/tr/en/basilicata/matera/restaurant/le-bubbole
L'Abbondanza Lucana,https://guide.michelin.com/tr/en/basilicata/matera/restaurant/l-abbondanza-lucana
Dimora Ulmo,https://guide.michelin.com/tr/en/basilicata/matera/restaurant/dimora-ulmo
Ego,https://guide.michelin.com/tr/en/basilicata/matera/restaurant/ego
U.P.E.P.I.D.D.E.,https://guide.michelin.com/tr/en/puglia/ruvo-di-puglia/restaurant/u-p-e-p-i-d-d-e
Pietramare Natural Food,https://guide.michelin.com/tr/en/calabria/isola-di-capo-rizzuto/restaurant/pietramare-natural-food
Maslina,https://guide.michelin.com/tr/en/split-dalmatia/stari-grad/restaurant/maslina
Casa Sgarra,https://guide.michelin.com/tr/en/puglia/trani/restaurant/casa-sgarra
Le Lampare al Fortino,https://guide.michelin.com/tr/en/puglia/trani/restaurant/le-lampare-al-fortino
Gallo Restaurant,https://guide.michelin.com/tr/en/puglia/trani/restaurant/gallo235188
Il Melograno,https://guide.michelin.com/tr/en/puglia/trani/restaurant/il-melograno155156
Quintessenza,https://guide.michelin.com/tr/en/puglia/trani/restaurant/quintessenza-1195965
Osteria Frangipane,https://guide.michelin.com/tr/en/puglia/trani/restaurant/osteria-frangipane
Il Turacciolo,https://guide.michelin.com/tr/en/puglia/andria/restaurant/il-turacciolo
Bacco,https://guide.michelin.com/tr/en/puglia/barletta/restaurant/bacco
Antica Cucina 1983,https://guide.michelin.com/tr/en/puglia/barletta/restaurant/antica-cucina-1983
Costes,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/costes
Salt,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/salt-1196768
Laurel,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/laurel-budapest
Spago by Wolfgang Puck,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/spago-by-wolfgang-puck
Babel,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/babel
Stand,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/stand
Rumour,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/rumour
Kadena,https://guide.michelin.com/tr/en/split-dalmatia/split/restaurant/kadena
Nobu Budapest,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/nobu-budapest
Onyx Mühely,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/onyx-muhely
Borkonyha Winekitchen,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/borkonyha-winekitchen
Pasztell,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/pasztell
Textúra,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/textura
essência,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/essencia
FELIX Kitchen & Bar,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/felix-1191677
Dvor,https://guide.michelin.com/tr/en/split-dalmatia/split/restaurant/dvor
Hoppá! Bistro,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/hoppa-bistro
Costes Downtown,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/costes-downtown
Mák,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/mak
St. Andrea,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/st-andrea-wine-gourmet-bar
Umo,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/umo
Stand25 Bisztró,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/stand25-bisztro
Šug,https://guide.michelin.com/tr/en/split-dalmatia/split/restaurant/sug
ZOI,https://guide.michelin.com/tr/en/split-dalmatia/split/restaurant/zoi
Hyle,https://guide.michelin.com/tr/en/calabria/san-giovanni-in-fiore/restaurant/hyle
Konoba Fetivi,https://guide.michelin.com/tr/en/split-dalmatia/split/restaurant/konoba-fetivi
Arany Kaviár,https://guide.michelin.com/tr/en/central-hungary/budapest/restaurant/arany-kaviar
Zrno Soli,https://guide.michelin.com/tr/en/split-dalmatia/split/restaurant/zrno-soli
Rutin,https://guide.michelin.com/tr/en/pest/budaors/restaurant/rutin
Al Dragone,https://guide.michelin.com/tr/en/puglia/vieste/restaurant/al-dragone
Acqua,https://guide.michelin.com/tr/en/puglia/vieste/restaurant/acqua-562821
Il Capriccio,https://guide.michelin.com/tr/en/puglia/vieste/restaurant/il-capriccio
Konoba Škoj,https://guide.michelin.com/tr/en/split-dalmatia/isola-di-solta/restaurant/konoba-skoj
Canneto Beach 2,https://guide.michelin.com/tr/en/puglia/margherita-di-savoia/restaurant/canneto-beach-2
Antichi Sapori,https://guide.michelin.com/tr/en/puglia/montegrosso/restaurant/antichi-sapori
La Tavernetta,https://guide.michelin.com/tr/en/calabria/camigliatello-silano/restaurant/la-tavernetta
Luna Rossa,https://guide.michelin.com/tr/en/basilicata/terranova-di-pollino/restaurant/luna-rossa
Rókusfalvy Fogadó,https://guide.michelin.com/tr/en/fejer/etyek/restaurant/rokusfalvy-fogado
Abbruzzino,https://guide.michelin.com/tr/en/calabria/catanzaro/restaurant/abbruzzino
La Tradizione - Cucina Casalinga,https://guide.michelin.com/tr/en/puglia/minervino-murge/restaurant/la-tradizione-cucina-casalinga
Konoba TRS,https://guide.michelin.com/tr/en/split-dalmatia/trogir/restaurant/konoba-trs
Il Ponte,https://guide.michelin.com/tr/en/split-dalmatia/trogir/restaurant/il-ponte
67 Sigma,https://guide.michelin.com/tr/en/fejer/szekesfehervar/restaurant/67-sigma
Porta di Basso,https://guide.michelin.com/tr/en/puglia/peschici/restaurant/porta-di-basso
Due Mari,https://guide.michelin.com/tr/en/calabria/tiriolo/restaurant/due-mari
Li Jalantuùmene,https://guide.michelin.com/tr/en/puglia/monte-sant-angelo/restaurant/li-jalantuumene
Al Becco della Civetta,https://guide.michelin.com/tr/en/basilicata/castelmezzano/restaurant/al-becco-della-civetta
Il Carpaccio,https://guide.michelin.com/tr/en/calabria/acri/restaurant/il-carpaccio
Bramea,https://guide.michelin.com/tr/en/basilicata/palazzo-san-gervasio/restaurant/bramea
Osteria Boccolicchio,https://guide.michelin.com/tr/en/puglia/manfredonia/restaurant/osteria-boccolicchio
Coppola Rossa,https://guide.michelin.com/tr/en/puglia/manfredonia/restaurant/coppola-rossa
U' Vulesce,https://guide.michelin.com/tr/en/puglia/cerignola/restaurant/u-vulesce
Natura Hill,https://guide.michelin.com/tr/en/pest/zebegeny/restaurant/natura-hill
füge,https://guide.michelin.com/tr/en/veszprem-region/tihany/restaurant/fuge
Agorà,https://guide.michelin.com/tr/en/calabria/rende/restaurant/agora
Barbieri,https://guide.michelin.com/tr/en/calabria/altomonte/restaurant/barbieri
Tihanyi Vinarius,https://guide.michelin.com/tr/en/veszprem-region/tihany/restaurant/tihanyi-vinarius
Kistücsok,https://guide.michelin.com/tr/en/somogy/balatonszemes/restaurant/kistucsok
Víg Molnár Csárda,https://guide.michelin.com/tr/en/veszprem-region/csopak/restaurant/vig-molnar-csarda
Da Peppe,https://guide.michelin.com/tr/en/basilicata/rotonda/restaurant/da-peppe
Zelna Borbár és Vinotéka,https://guide.michelin.com/tr/en/veszprem-region/balatonfured/restaurant/zelna-borbar-es-vinoteka
Mór24,https://guide.michelin.com/tr/en/veszprem-region/balatonfured/restaurant/mor24
Sparhelt,https://guide.michelin.com/tr/en/veszprem-region/balatonfured/restaurant/sparhelt
Luigi Lepore,https://guide.michelin.com/tr/en/calabria/lamezia-terme/restaurant/luigi-lepore
42,https://guide.michelin.com/tr/en/komarom-esztergom/esztergom/restaurant/42
Al Baliaggio,https://guide.michelin.com/tr/en/basilicata/venosa/restaurant/al-baliaggio
L'Incanto,https://guide.michelin.com/tr/en/basilicata/venosa/restaurant/l-incanto
Forentum,https://guide.michelin.com/tr/en/basilicata/lavello/restaurant/forentum
Konoba Vinko,https://guide.michelin.com/tr/en/sibenik-knin/konjevrate/restaurant/konoba-vinko
Öreg Prés,https://guide.michelin.com/tr/en/fejer/mor/restaurant/oreg-pres
Don Alfonso 1890 San Barbato,https://guide.michelin.com/tr/en/basilicata/lavello/restaurant/don-alfonso-1890-san-barbato
Casa Christa,https://guide.michelin.com/tr/en/veszprem-region/balatonszolos/restaurant/casa-christa
Neked Főztem,https://guide.michelin.com/tr/en/veszprem-region/zanka/restaurant/neked-foztem
A Konyhám Stúdió 365,https://guide.michelin.com/tr/en/somogy/fonyod/restaurant/a-konyham-studio-365
Pelegrini,https://guide.michelin.com/tr/en/sibenik-knin/sibenik/restaurant/pelegrini
Kővirág,https://guide.michelin.com/tr/en/veszprem-region/koveskal/restaurant/kovirag
Lokal47,https://guide.michelin.com/tr/en/somogy/kethely/restaurant/lokal47
La Villa,https://guide.michelin.com/tr/en/basilicata/melfi/restaurant/la-villa139895
Platán Bisztró,https://guide.michelin.com/tr/en/komarom-esztergom/tata/restaurant/platan-bisztro
Platán Gourmet,https://guide.michelin.com/tr/en/komarom-esztergom/tata/restaurant/platan-gourmet
84 Bisztró,https://guide.michelin.com/tr/en/veszprem-region/kapolcs/restaurant/84-bisztro
L'Aragosta,https://guide.michelin.com/tr/en/calabria/marina-di-nocera-terinese/restaurant/l-aragosta
Villa Kabala,https://guide.michelin.com/tr/en/veszprem-region/szigliget/restaurant/villa-kabala
L'Aia dei Cappellani,https://guide.michelin.com/tr/en/basilicata/trecchina/restaurant/l-aia-dei-cappellani
La Cascina,https://guide.michelin.com/tr/en/calabria/roccella-ionica/restaurant/la-cascina
Convito,https://guide.michelin.com/tr/en/calabria/sangineto-lido/restaurant/convito
San Domenico,https://guide.michelin.com/tr/en/calabria/pizzo-calabro/restaurant/san-domenico-1204856
La Kucina,https://guide.michelin.com/tr/en/puglia/foggia/restaurant/la-kucina
Locanda Toscano,https://guide.michelin.com/tr/en/calabria/pizzo/restaurant/locanda-toscano-1198455
Konoba Tri Piruna,https://guide.michelin.com/tr/en/sibenik-knin/vodice/restaurant/konoba-tri-piruna
ME Restaurant,https://guide.michelin.com/tr/en/calabria/pizzo/restaurant/me-restaurant
Gambero Rosso,https://guide.michelin.com/tr/en/calabria/marina-di-gioiosa-ionica/restaurant/gambero-rosso
Taverna Rovita,https://guide.michelin.com/tr/en/basilicata/maratea/restaurant/taverna-rovita
Lapprodo,https://guide.michelin.com/tr/en/calabria/vibo-valentia-marina/restaurant/lapprodo
Il Normanno,https://guide.michelin.com/tr/en/calabria/mileto/restaurant/il-normanno
La Fossa del Grano,https://guide.michelin.com/tr/en/puglia/san-severo/restaurant/la-fossa-del-grano
Zi Filomena,https://guide.michelin.com/tr/en/campania/caselle-in-pittari/restaurant/zi-filomena
Le Antiche Sere,https://guide.michelin.com/tr/en/puglia/lesina/restaurant/le-antiche-sere
Frammichè,https://guide.michelin.com/tr/en/calabria/mesiano/restaurant/frammiche
Konoba Boba,https://guide.michelin.com/tr/en/sibenik-knin/murter/restaurant/konoba-boba
Coquus,https://guide.michelin.com/tr/en/puglia/lucera/restaurant/coquus
Kreinbacher Birtok,https://guide.michelin.com/tr/en/veszprem-region/somlovasarhely/restaurant/kreinbacher-birtok
Oasis - Sapori Antichi,https://guide.michelin.com/tr/en/campania/vallesaccarda/restaurant/oasis-sapori-antichi
Qafiz,https://guide.michelin.com/tr/en/calabria/santa-cristina-d-aspromonte/restaurant/qafiz
La Chioccia d'Oro,https://guide.michelin.com/tr/en/campania/vallo-della-lucania/restaurant/la-chioccia-d-oro
Aquadulcis,https://guide.michelin.com/tr/en/campania/vallo-della-lucania/restaurant/aquadulcis
Mon Ami,https://guide.michelin.com/tr/en/zagreb-region/velika-gorica/restaurant/mon-ami
Zlatne Gorice,https://guide.michelin.com/tr/en/varazdin/varadin-breg/restaurant/zlatne-gorice
LAMAREDA,https://guide.michelin.com/tr/en/gyor-moson-sopron/gyor/restaurant/lamareda
De Gustibus - Maurizio,https://guide.michelin.com/tr/en/calabria/palmi/restaurant/de-gustibus-maurizio
La Pignata,https://guide.michelin.com/tr/en/campania/ariano-irpino/restaurant/la-pignata
Maeba Restaurant,https://guide.michelin.com/tr/en/campania/ariano-irpino/restaurant/maeba-restaurant
Angiolina,https://guide.michelin.com/tr/en/campania/pisciotta/restaurant/angiolina
Adele Restaurant,https://guide.michelin.com/tr/en/campania/pisciotta/restaurant/adele-restaurant
Perbacco,https://guide.michelin.com/tr/en/campania/pisciotta/restaurant/perbacco530053
Antica Trattoria Di Pietro,https://guide.michelin.com/tr/en/campania/melito-irpino/restaurant/antica-trattoria-di-pietro
